epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,207.746,0.63062,0.91095,1.0814,0.91003,0.91904,0.95427,0.77855,0.74573,0.87567,1.14461,0.000249366,0.000249366,0.000249366
30,214.918,0.64812,0.89918,1.08381,0.95184,0.87607,0.96728,0.78551,0.73872,0.79362,1.12888,0.00024595,0.00024595,0.00024595
31,222.025,0.62444,0.8721,1.07661,0.93488,0.91226,0.95687,0.77594,0.76097,0.7995,1.14788,0.000242535,0.000242535,0.000242535
32,229.132,0.63706,0.90024,1.08167,0.92156,0.9331,0.97575,0.79495,0.74342,0.75982,1.14502,0.000239119,0.000239119,0.000239119
33,236.282,0.62854,0.86319,1.07441,0.92529,0.93963,0.97036,0.78273,0.76694,0.75878,1.1523,0.000235704,0.000235704,0.000235704
34,243.42,0.61445,0.83287,1.06999,0.9518,0.905,0.97549,0.79627,0.73202,0.72545,1.13729,0.000232288,0.000232288,0.000232288
35,250.609,0.62304,0.83062,1.07093,0.91867,0.92577,0.96996,0.79868,0.71289,0.73045,1.10917,0.000228873,0.000228873,0.000228873
36,257.761,0.62183,0.81093,1.06927,0.92786,0.92939,0.96881,0.79323,0.74217,0.72381,1.13517,0.000225457,0.000225457,0.000225457
37,264.902,0.61783,0.82352,1.06535,0.92044,0.92044,0.9669,0.78939,0.73836,0.72662,1.14179,0.000222042,0.000222042,0.000222042
38,272.097,0.6154,0.80605,1.06711,0.94923,0.94283,0.97536,0.80222,0.72889,0.6714,1.13724,0.000218627,0.000218627,0.000218627
39,279.245,0.59511,0.77733,1.05341,0.94067,0.93378,0.97564,0.78653,0.74406,0.69827,1.14291,0.000215211,0.000215211,0.000215211
40,286.347,0.59451,0.76055,1.05601,0.91949,0.93117,0.96813,0.78454,0.76619,0.72037,1.16868,0.000211795,0.000211795,0.000211795
41,293.453,0.6004,0.77129,1.0555,0.9617,0.93301,0.97318,0.80126,0.72381,0.64593,1.11897,0.00020838,0.00020838,0.00020838
42,300.558,0.58218,0.73437,1.04316,0.96292,0.93077,0.97624,0.79849,0.72165,0.62074,1.14371,0.000204965,0.000204965,0.000204965
43,307.667,0.59098,0.73175,1.05592,0.93713,0.92852,0.97281,0.79648,0.71482,0.65214,1.12315,0.000201549,0.000201549,0.000201549
44,314.779,0.57439,0.7245,1.04621,0.94036,0.9342,0.97312,0.79072,0.75742,0.69428,1.16306,0.000198134,0.000198134,0.000198134
45,321.95,0.58186,0.7213,1.05092,0.94501,0.94009,0.97411,0.79602,0.70615,0.64044,1.11895,0.000194718,0.000194718,0.000194718
46,329.081,0.57052,0.69488,1.0408,0.95409,0.95614,0.98485,0.81057,0.71335,0.59167,1.11451,0.000191303,0.000191303,0.000191303
47,336.327,0.57265,0.69617,1.03712,0.94931,0.95755,0.97966,0.80222,0.71263,0.6014,1.11143,0.000187887,0.000187887,0.000187887
48,343.453,0.57434,0.69689,1.04949,0.96358,0.95595,0.98073,0.82218,0.69705,0.52694,1.11987,0.000184472,0.000184472,0.000184472
49,350.597,0.56857,0.67705,1.03393,0.9514,0.94563,0.977,0.80626,0.72575,0.56853,1.13798,0.000181056,0.000181056,0.000181056
50,357.747,0.56764,0.66623,1.02928,0.94975,0.94898,0.97698,0.81154,0.70418,0.55948,1.12741,0.00017764,0.00017764,0.00017764
51,364.978,0.5639,0.6725,1.03089,0.95258,0.93178,0.97844,0.80896,0.71039,0.59604,1.12925,0.000174225,0.000174225,0.000174225
52,372.164,0.55058,0.65724,1.02924,0.95037,0.92533,0.97676,0.80648,0.70392,0.59224,1.13564,0.000170809,0.000170809,0.000170809
53,379.289,0.55426,0.64523,1.0297,0.9575,0.93731,0.97464,0.80735,0.70506,0.53457,1.11808,0.000167394,0.000167394,0.000167394
54,386.388,0.55651,0.64818,1.0225,0.95986,0.95209,0.97606,0.80592,0.70795,0.54522,1.12917,0.000163978,0.000163978,0.000163978
55,393.518,0.56663,0.64363,1.03436,0.96313,0.92078,0.97312,0.80373,0.7015,0.54814,1.11825,0.000160563,0.000160563,0.000160563
56,400.668,0.54378,0.62435,1.02492,0.96389,0.94842,0.98084,0.80402,0.70539,0.54873,1.12359,0.000157147,0.000157147,0.000157147
57,407.788,0.52974,0.61872,1.02086,0.97177,0.95916,0.98624,0.8075,0.70377,0.52444,1.10613,0.000153732,0.000153732,0.000153732
58,415.033,0.5384,0.62393,1.02514,0.96,0.94387,0.97597,0.79858,0.7183,0.52475,1.14107,0.000150317,0.000150317,0.000150317
59,422.14,0.53728,0.61089,1.01902,0.94771,0.95271,0.97606,0.80397,0.70687,0.50968,1.12687,0.000146901,0.000146901,0.000146901
60,429.261,0.53036,0.58414,1.01819,0.94314,0.95252,0.97755,0.80252,0.72325,0.54011,1.12813,0.000143486,0.000143486,0.000143486
61,436.369,0.53861,0.61512,1.01947,0.95979,0.95126,0.97854,0.81255,0.70416,0.50508,1.11787,0.00014007,0.00014007,0.00014007
62,443.514,0.51792,0.59118,1.01584,0.95998,0.95504,0.97919,0.81148,0.69479,0.50777,1.1104,0.000136655,0.000136655,0.000136655
63,450.648,0.52065,0.58683,1.01289,0.96311,0.9604,0.97952,0.81715,0.68839,0.47052,1.11418,0.000133239,0.000133239,0.000133239
64,457.811,0.52918,0.59761,1.01687,0.97551,0.95154,0.97877,0.81212,0.69019,0.47549,1.11651,0.000129824,0.000129824,0.000129824
65,465.023,0.51681,0.56766,1.01176,0.97379,0.95976,0.9795,0.81507,0.68895,0.4634,1.11864,0.000126408,0.000126408,0.000126408
66,472.742,0.53274,0.5801,1.01629,0.97365,0.96015,0.98661,0.8127,0.6924,0.47579,1.11033,0.000122992,0.000122992,0.000122992
67,480.106,0.51712,0.57423,1.0095,0.97534,0.96285,0.98439,0.81339,0.69779,0.4666,1.11135,0.000119577,0.000119577,0.000119577
68,487.175,0.51988,0.56019,1.01121,0.97591,0.95296,0.98574,0.81261,0.70311,0.45961,1.11373,0.000116161,0.000116161,0.000116161
69,494.306,0.50636,0.54189,1.00237,0.98076,0.9597,0.98776,0.81173,0.70178,0.45524,1.1164,0.000112746,0.000112746,0.000112746
70,501.418,0.50848,0.55384,1.01056,0.97705,0.96083,0.98151,0.81437,0.69768,0.45649,1.11919,0.000109331,0.000109331,0.000109331
71,508.537,0.50841,0.55651,1.0053,0.97597,0.96159,0.98145,0.81267,0.69186,0.44529,1.1098,0.000105915,0.000105915,0.000105915
72,515.73,0.50888,0.53547,1.00355,0.97014,0.97236,0.98211,0.80923,0.69704,0.44042,1.1132,0.0001025,0.0001025,0.0001025
73,522.881,0.48702,0.51604,0.99256,0.97468,0.97662,0.98901,0.82364,0.67565,0.43128,1.09894,9.9084e-05,9.9084e-05,9.9084e-05
74,530.026,0.50121,0.52865,1.00306,0.97887,0.97533,0.98941,0.82254,0.67031,0.41783,1.10223,9.56685e-05,9.56685e-05,9.56685e-05
75,537.15,0.50017,0.5369,1.0003,0.97193,0.95829,0.98319,0.81924,0.69638,0.42139,1.11629,9.2253e-05,9.2253e-05,9.2253e-05
76,544.253,0.49402,0.52434,0.99936,0.97229,0.97063,0.98778,0.81736,0.67882,0.42568,1.10044,8.88375e-05,8.88375e-05,8.88375e-05
77,551.401,0.49116,0.51685,1.00095,0.9733,0.9589,0.98291,0.81631,0.68459,0.43219,1.11543,8.5422e-05,8.5422e-05,8.5422e-05
78,559.105,0.49297,0.53434,1.00154,0.98062,0.97916,0.99136,0.81636,0.69039,0.4162,1.12919,8.20065e-05,8.20065e-05,8.20065e-05
79,566.805,0.4929,0.52403,0.99777,0.97278,0.95961,0.98496,0.81763,0.70363,0.42222,1.11731,7.8591e-05,7.8591e-05,7.8591e-05
80,574.23,0.47539,0.51952,0.99499,0.98728,0.97574,0.99185,0.81655,0.70086,0.42636,1.1185,7.51755e-05,7.51755e-05,7.51755e-05
81,581.364,0.47461,0.50941,0.99214,0.98668,0.97239,0.99184,0.82134,0.68769,0.41634,1.11337,7.176e-05,7.176e-05,7.176e-05
82,588.55,0.49061,0.5098,0.99376,0.98212,0.96886,0.9909,0.81999,0.68016,0.4246,1.10931,6.83445e-05,6.83445e-05,6.83445e-05
83,595.69,0.47939,0.49573,0.99136,0.97779,0.97245,0.9928,0.82441,0.66722,0.40823,1.10858,6.4929e-05,6.4929e-05,6.4929e-05
84,602.843,0.47732,0.51274,0.99557,0.97276,0.96684,0.98632,0.81846,0.67613,0.42222,1.10774,6.15135e-05,6.15135e-05,6.15135e-05
85,609.957,0.46664,0.48143,0.98546,0.97353,0.97144,0.98867,0.82417,0.66996,0.40537,1.11104,5.8098e-05,5.8098e-05,5.8098e-05
86,617.612,0.45017,0.46886,0.98135,0.9725,0.96229,0.98799,0.82425,0.67826,0.42122,1.10736,5.46825e-05,5.46825e-05,5.46825e-05
87,624.799,0.47698,0.50456,0.99257,0.97087,0.95911,0.98467,0.82026,0.67016,0.4137,1.10469,5.1267e-05,5.1267e-05,5.1267e-05
88,631.917,0.46836,0.48951,0.98739,0.98041,0.96491,0.99243,0.8207,0.6801,0.40825,1.11007,4.78515e-05,4.78515e-05,4.78515e-05
89,639.052,0.46929,0.47778,0.98462,0.98121,0.96834,0.98736,0.81774,0.67358,0.40289,1.10563,4.4436e-05,4.4436e-05,4.4436e-05
90,646.769,0.46714,0.47967,0.98408,0.96431,0.97308,0.98329,0.82141,0.67043,0.407,1.10803,4.10205e-05,4.10205e-05,4.10205e-05
91,654.603,0.39643,0.32405,0.938,0.96811,0.97613,0.98586,0.81869,0.694,0.42876,1.12647,3.7605e-05,3.7605e-05,3.7605e-05
92,661.686,0.38594,0.3168,0.93777,0.97494,0.97264,0.98696,0.81518,0.70137,0.41973,1.14777,3.41895e-05,3.41895e-05,3.41895e-05
93,668.794,0.37139,0.31169,0.9268,0.97817,0.97467,0.98622,0.81611,0.69193,0.4189,1.1324,3.0774e-05,3.0774e-05,3.0774e-05
94,675.978,0.36975,0.30448,0.93689,0.97803,0.97185,0.98621,0.81544,0.68595,0.41569,1.12826,2.73585e-05,2.73585e-05,2.73585e-05
95,683.105,0.36803,0.30141,0.93477,0.97699,0.97159,0.98616,0.81672,0.68909,0.41394,1.12775,2.3943e-05,2.3943e-05,2.3943e-05
96,690.196,0.35869,0.29454,0.93404,0.98041,0.96964,0.98647,0.82143,0.68112,0.40718,1.12327,2.05275e-05,2.05275e-05,2.05275e-05
97,697.365,0.36103,0.29488,0.93,0.97956,0.97532,0.98728,0.82046,0.68563,0.40564,1.12748,1.7112e-05,1.7112e-05,1.7112e-05
98,704.494,0.35868,0.29025,0.92115,0.97902,0.97415,0.98687,0.81866,0.68497,0.40216,1.12455,1.36965e-05,1.36965e-05,1.36965e-05
99,711.561,0.35508,0.28525,0.92086,0.98034,0.97063,0.98744,0.82003,0.68825,0.4053,1.12917,1.0281e-05,1.0281e-05,1.0281e-05
100,718.647,0.35081,0.28735,0.91396,0.98078,0.97278,0.98705,0.82325,0.68273,0.39919,1.12761,6.8655e-06,6.8655e-06,6.8655e-06
